Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
23,4.99,615,92,2023,615
24,3.99,328,75,2023,328
25,19.99,321,79,2016,0
26,5.99,89,86,2007,0
27,9.99,1891,94,2013,0
28,4.99,443,60,2016,16
29,3.99,165,86,2015,0
30,6.99,9,55,2023,9
31,5.99,65,100,2022,0
32,16.99,257,96,2020,0
33,10.99,2641,93,2022,18
34,4.99,21,95,2024,21
35,4.99,1301,93,2014,0
36,0.99,0,84,2024,0
37,1.99,154,68,2023,154
38,2.99,155,81,2022,0
39,4.99,11,100,2024,11
40,18.99,3,100,2023,3
41,3.99,12,91,2022,0
42,2.99,21,76,1994,0
43,14.99,208,96,2022,0
44,15.99,448,90,2022,0
45,14.99,34,85,2024,34
1,9.99,16357,84,2024,16357
2,14.99,3775,93,2020,54
3,0,45094,83,2012,155
4,4.99,214798,98,2022,1899
5,9.99,17157,98,2023,714
6,4.99,378,96,2024,378
7,19.99,139100,96,2017,1732
9,4.99,69144,979,2023,1415
10,24.99,11297,95,2023,582
11,9.99,195236,96,2015,1975
12,9.99,15916,90,2022,392
13,19.99,18294,87,2020,105
14,6.99,11874,93,2023,543
15,9.99,4891,87,2023,371
16,17.99,9762,96,2019,80
17,14.99,536,87,2024,168
18,9.99,2936,67,2023,78
19,14.99,69204,95,2016,530
20,4.99,711,97,2024,711
21,9.99,5720,97,2022,355
22,7.99,35,97,2024,35
23,59.99,17097,87,2021,139
24,19.99,17486,97,2018,189
25,0,1241,56,2008,0
26,5.99,3137,86,2023,162
27,14.99,1686,95,2023,30
28,7.99,30138,69,2014,120
29,7.99,1879,88,2023,39
30,19.99,38,100,2023,38
31,29.99,3337,93,2019,14
32,14.99,521,99,2024,172
33,9.99,2078,87,2023,84
34,4.99,123,55,2023,123
35,4.99,24735,91,2023,226
36,9.99,6661,90,2023,252
37,10.99,1506,85,2023,78
38,7.99,93,84,2024,93
39,2.99,40,90,2024,17
40,19.99,5576,94,2020,39
41,11.99,12831,96,2015,72
42,9.99,820,93,2023,42
43,14.99,250,91,2023,12
44,4.99,3706,87,2022,179
45,5.99,1500,92,2023,38
46,4.99,908,98,2023,130
47,4.99,1467,71,2023,28
1,0,9378,71,2022,239
2,0,3546,87,2022,110
3,39.99,3644,93,2021,64
4,14.99,18,66,2024,66
5,39.99,1141,73,2024,1141
6,14.99,6425,97,2024,4128
7,49.99,1020,77,2024,131
9,49.99,4235,90,2022,161
10,0,8761,72,2021,178
11,0,10771,69,2023,213
12,19.99,196,79,2023,16
13,24.99,12860,86,2022,105
14,0,1308,54,2023,165
15,0,48285,11,2021,2138
16,14.99,21047,93,2019,363
17,5.99,17440,98,2021,1024
18,24.99,12712,92,2023,506
19,6.99,2469,89,2024,2469
20,19.99,5551,93,2020,68
21,12.99,14596,90,2020,386
22,19.99,13223,93,2019,346
23,0,31254,85,2018,257
24,39.99,2405,80,2022,72
25,22.99,728,71,2023,27
26,80.96,2817,90,2022,40
27,0,27,29,2024,27
28,19.99,65020,89,2016,865
29,0,521,85,2023,83
30,39.99,1970,98,2023,241
31,19.99,1795,75,2023,138
32,19.99,3127,92,2023,195
33,59.99,10064,89,2021,108
34,24.99,316,91,2024,58
35,19.99,3276,68,2024,255
36,19.99,9704,95,2022,122
37,29.99,7229,60,2024,1454
38,49.99,237,81,2019,0
18,19.99,748,71,2022,21
19,19.99,18541,97,2018,276
20,20,102,95,2024,102
21,15.99,2222,84,2014,13
22,29.99,326,83,2023,19
23,9.99,550,98,2023,27
24,29.99,886,80,2021,0
25,29.99,884,93,2023,29
26,29.99,670,79,2022,12
27,19.99,3418,97,2019,64
28,4.99,18291,95,1999,286
29,4.99,13463,92,2001,200
30,9.99,3436,64,2023,81
31,4.99,14921,96,1995,352
32,4.99,7202,95,1994,153
33,19.96,14239,91,2021,226
34,19.99,748,77,2019,16
35,19.99,2926,77,2018,44
36,8.99,4236,95,2023,74
37,9.99,6499,94,1997,92
38,19.99,3840,85,2016,30
39,14.99,2878,95,1999,22
40,9.99,11136,96,1996,1996
41,4.99,5932,86,1999,56
42,19.99,184,96,2023,184
43,14.99,3052,97,2016,13
44,4.99,6048,94,2020,91
45,29.99,4480,88,2021,43
46,9.99,4638,95,2009,31
47,9.99,11322,94,1997,118
18,4.99,55,90,2023,10
19,4.99,5,100,2024,5
20,2.99,216,83,2023,26
21,19.99,0,84,2024,0
22,14.99,450,71,2015,0
23,12.99,98,90,2020,0
24,2.99,16,75,2020,0
25,4.99,744,82,2021,5
26,0.99,184,53,2021,0
27,12.99,4,100,2023,4
28,0.99,31,87,2021,0
29,0.99,27,81,2023,27
30,4.99,2,100,2021,0
31,29.99,10,80,2023,10
32,10.99,2,100,2023,2
33,9.99,0,84,2023,0
34,2.99,28,64,2020,0
35,19.99,128,66,2016,0
36,19.99,10,60,2023,10
37,0.99,119,98,2019,0
38,0,1286,57,2023,187
39,24.99,999,81,2018,16
40,10.99,0,84,2021,0
41,0,48,66,2023,48
42,9.99,365,66,2018,0
43,0,2433,80,2022,46
44,0,1049,61,2022,0
45,0,3591,89,2022,55
18,34.99,8619,79,2023,454
19,29.99,121308,97,2022,1605
20,59.99,222457,77,2016,1887
21,39.99,159775,91,2020,1691
22,24.99,53830,95,2020,1194
23,29.99,78223,91,2021,690
24,39.99,118430,88,2019,1465
25,59.99,5506,89,2023,191
26,59.99,22718,84,2023,548
27,39.99,93181,94,2020,2618
28,29.99,183402,95,2016,2654
29,19.99,387,77,2024,387
30,49.99,7065,91,2023,648
31,39.99,6031,92,2023,132
32,59.99,40266,91,2021,700
33,39.99,46520,87,2017,676
34,59.99,27895,64,2022,516
35,39.99,117,86,2024,117
36,19.99,91324,89,2019,496
37,19.99,14073,96,2022,907
38,49.99,32823,91,2022,317
39,9.99,155316,96,2010,1263
40,29.99,57792,96,2014,688
41,59.99,3650,81,2023,62
42,54.98,13771,89,2022,174
43,24.99,11340,95,2023,588
44,29.99,6998,80,2024,199
45,19.88,3268,16,2010,257
46,24.99,105596,96,2019,1314
47,39.99,3487,89,2021,100
48,39.99,18629,93,2022,827
