Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
19,9.99,15964,89,2012,296
20,59.99,16732,92,2022,257
21,39.99,11007,93,2019,134
22,14.99,1530,89,2023,38
23,0,21,38,2024,21
24,29.99,10889,84,2017,237
25,59.99,1792,55,2024,1792
26,59.99,1422,85,2022,43
27,24.99,4801,93,2023,159
28,29.99,39273,209,2017,209
29,19.99,18445,93,2011,350
30,39.99,11021,92,2022,205
31,39.99,11138,93,2018,118
32,4.99,431,69,2023,121
33,29.99,760,93,2018,0
34,14.99,11841,93,2016,98
35,39.99,2035,86,2022,70
36,19.99,13713,89,2011,339
37,0,591,43,2019,10
38,1.99,4306,94,2023,131
39,7.99,11456,92,2011,148
40,29.99,704,94,2022,10
41,39.99,1100,78,2022,20
42,0,217,89,2024,217
43,21.99,6673,64,2015,31
44,19.99,170,71,2023,170
1,12.99,2610,94,2024,2610
2,29.99,35754,85,2024,22068
3,29.99,161294,86,2024,5497
5,24.99,62942,94,2022,1971
6,39.99,848767,87,2018,10847
7,44.99,41069,58,2023,1971
8,59.99,217414,86,2016,2340
9,39.99,9041,74,2023,1250
10,0,128657,87,2014,3137
11,29.99,7843,61,2024,61
12,59.99,20565,87,2021,87
13,14.99,553809,98,2016,7949
14,39.99,9210,73,2024,1402
15,11.99,2317,77,2022,17
16,17.99,1095,90,2024,657
17,19.99,211579,94,2013,5272
18,19.99,257215,93,2022,2565
19,34.99,151201,98,2018,1474
20,34.99,8283,79,2023,144
21,9.99,1002026,97,2011,9627
22,49.99,17274,57,2023,348
23,29.99,24,50,2024,24
24,14.9,512462,83,2017,2910
25,9.99,900571,96,2006,8700
26,49.99,34500,57,2023,1771
27,35,14635,97,2020,1284
28,29.99,83588,92,2018,790
29,44.99,64341,90,2019,567
30,19.99,377576,94,2021,2976
31,39.99,5259,77,2023,470
32,29.99,187320,93,2015,1158
33,19.99,449767,95,2018,3499
34,24.99,21774,95,2021,546
35,24.99,207530,88,2013,2133
36,34.99,30208,70,2021,319
37,29.99,132787,97,2020,1536
38,39.99,66730,78,2018,330
39,24.99,4357,90,2022,72
40,29.99,14489,91,2021,113
41,29.99,23207,95,2022,243
42,19.99,26843,95,2021,775
43,34.99,6170,81,2022,228
44,14.99,61596,94,2016,1805
45,29.99,12311,88,2023,385
46,19.99,67974,88,2022,672
47,19.99,12060,95,2022,326
48,19.99,91181,89,2019,443
49,19.99,753,99,2023,38
50,19.99,27560,86,2009,139
1,19.99,561,84,2023,15
2,19.99,372,95,2019,0
3,29.99,47,63,2022,0
4,9.99,2932,91,2011,15
5,14.99,85,78,2020,0
6,14.99,163,77,2019,0
7,12.99,107,57,2017,0
8,19.99,10,80,2023,10
9,3.99,2,100,2019,0
10,9.99,3,0,2022,0
11,7.99,5,60,2023,5
12,599.97,11,90,2023,11
13,9.99,165,93,2016,0
14,0.99,55,90,2018,0
15,4.99,12,100,2022,0
16,4.99,8,100,2019,0
17,0.99,2,50,2022,0
18,4.99,1,100,2022,0
20,0.99,1,100,2023,1
21,5.99,0,84,2023,0
22,6.99,0,84,2023,0
23,3.99,5,100,2022,0
24,1.99,1,0,2022,0
25,4.99,2,100,2023,2
28,5.99,3,100,2022,0
29,4.99,10,90,2023,0
30,4.99,14,85,2015,0
31,0.99,2,100,2021,0
32,4.99,25,80,2018,0
33,9.99,8,88,2018,0
34,10.99,1,0,2021,0
35,1.99,2,100,2022,0
36,1.99,10,90,2021,0
37,19.99,0,84,2023,0
38,2.99,8,63,2019,0
39,3.99,2,100,2019,0
40,3.99,1,0,2020,0
41,1.99,1,100,2023,1
42,24.99,0,84,2023,0
43,7.99,5,60,2019,0
44,9.99,7,71,2021,0
45,7.99,5,80,2020,0
46,0.99,2,0,2020,0
47,9.99,2,0,2022,0
49,7.99,2,100,2022,0
1,59.99,4223,80,2023,317
2,19.99,1841,49,2021,49
3,0,1554,67,2023,49
4,29.99,2729,90,2017,14
5,59.99,980,64,2023,15
6,39.99,349,68,2020,0
7,19.99,329,97,2021,12
8,29.99,314,83,2023,10
9,14.99,278,85,2023,29
10,14.99,36,83,2023,36
11,19.99,117,82,2023,82
12,2.99,183,58,2021,0
13,19.99,58,79,2020,0
14,4.99,168,97,2021,0
15,9.99,385,87,2014,0
16,19.99,66,92,2016,0
17,4.99,17,94,2023,17
18,4.99,46,91,2023,46
19,4.99,6,67,2022,0
20,2.99,25,96,2021,0
21,2.99,6,83,2023,6
22,2999.85,11,27,2018,0
23,14.99,76,81,2015,0
24,6.99,102,95,2013,0
25,19.99,23,39,2015,0
27,0.99,8,0,2020,0
28,2.99,6,100,2021,0
29,11.99,14,57,2020,0
30,9.99,2,50,2021,0
34,14.99,1,100,2022,0
35,1.99,0,84,2022,0
36,4.99,2,100,2022,0
37,1.99,1,0,2023,1
38,4.99,2,100,1988,0
39,7.99,1,100,2020,0
42,6.99,0,84,2023,0
43,0.99,1,100,2023,1
1,24.99,8,88,2024,8
2,29.99,2652,89,2023,221
3,29.99,592,83,2024,592
4,39.99,8050,86,2023,188
5,24.99,113,80,2024,113
7,19.99,5224,95,2020,62
8,29.99,2107,82,2023,125
9,14.99,4975,85,2023,196
10,29.99,10065,92,2022,151
11,0,6245,86,2020,175
12,9.99,2165,96,2021,199
13,5.99,6267,97,2023,447
14,39.99,13399,85,2016,127
15,29.99,5045,88,2021,77
16,14.99,161,91,2020,0
17,39.99,1942,87,2023,88
18,6.99,634,95,2023,85
19,19.99,1193,90,2023,33
20,19.99,147,88,2022,17
21,6.99,3567,96,2019,69
22,19.99,271,86,2023,271
23,12.99,383,74,2022,24
24,9.99,429,97,2021,0
25,19.99,480,96,2022,12
26,11.99,664,98,2023,63
27,12.99,482,96,2023,43
28,29.99,5482,88,2021,60
29,2.99,710,91,2023,87
30,17.99,216,93,2023,16
31,14.99,894,94,2022,19
32,2.99,209,86,2024,23
33,19.99,12431,95,2013,50
34,19.99,183,96,2021,0
35,29.99,2808,77,2016,13
36,9.99,247,95,2021,20
37,4.99,239,76,2023,16
38,19.99,499,84,2023,18
39,19.99,23,73,2024,23
40,14.99,107,98,2023,107
41,24.99,56,87,2023,56
42,13.99,1759,92,2022,28
43,13.99,480,85,2020,12
1,3.99,696461,98,2018,12503
2,7.99,12936,91,2020,1066
3,4.99,61129,96,2016,1312
4,19.99,13079,99,2016,343
5,44.99,1405,94,2022,56
6,34.99,13981,93,2013,197
7,6.99,2072,85,2018,402
8,0,4050,92,2021,124
9,4.99,1840,62,2022,119
10,11.99,2499,88,2019,40
11,4.99,4044,70,2021,123
12,14.99,1763,95,2017,27
13,19.99,455,73,2023,24
14,14.99,1900,70,2016,13
15,39.99,579,83,2020,11
16,4.99,2980,92,2021,25
17,59.99,222,84,2018,0
18,6.99,126,83,2023,24
19,3.99,1532,94,2020,37
20,9.99,62,74,2022,0
21,11.99,1006,96,2009,10
22,19.99,580,83,2020,12
23,9.99,1015,87,2020,24
24,34.99,914,86,2013,0
25,3.99,1875,97,2018,14
26,0,301,68,2017,0
27,6.99,3063,88,2021,139
28,14.99,26,73,2024,26
29,29.99,27,92,2023,27
30,0,178,93,2006,0
31,29.99,268,88,2017,0
32,24.99,98,98,2021,0
33,69.98,159,68,2023,159
34,29.99,319,66,2017,0
35,9.99,542,84,2018,0
36,6.99,46,60,2024,23
37,29.99,10,50,2024,10
38,17.99,807,60,2021,21
39,29.99,130,90,2021,0
40,11.99,176,97,2022,0
41,79.99,23,69,2023,23
42,39.99,456,73,2017,0
43,99.99,1206,90,2013,28
44,7.99,47,80,2024,47
45,3.99,3106,88,2015,23
46,11.99,1661,85,2017,31
47,0,1133,84,2022,57
48,19.99,89,86,2021,0
1,12.99,5025,94,2024,5025
3,19.99,538254,97,2012,6890
4,19.99,118938,97,2016,1625
5,29.99,4882,82,2024,4882
7,59.99,152117,88,2021,4170
8,24.99,213625,97,2015,5528
9,32.99,2188,80,2024,2188
10,29.99,25817,89,2021,709
