Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #,Name
9,29.99,31273,94,2011,156,mafia 2
10,49.99,679,78,2023,107,arizona sunshine 2
11,17.99,11343,87,2023,548,car for sale
12,39.99,36888,40,2023,518,payday 3
13,29.99,1221,98,2023,97,railroader
14,49.99,1137,72,2023,39,railway empire 2
15,9.99,2155,96,2021,190,Class of 09
16,24.99,17759,89,2009,137,total war empire
17,29.99,4591,59,2022,95,the angler
18,24.99,612,84,2019,0,metalwolf XD
19,19.99,1041,86,2023,18,intot he flames
20,19.99,1523,84,2023,49,gunsmith simulator
21,19.99,773,79,2023,36,ootp 24
22,11.99,509,81,2023,58,storage hustle
23,0,18504,84,2014,76,world of guns
24,29.99,2640,64,2023,163,saints row
25,24.99,1930,94,2023,98,killer frequnecy
26,24.99,12686,83,2023,198,flashing lights
27,17.76,1267,93,2024,159,alex jones nwo
28,29.99,7187,89,2017,38,ultimate general
29,39.99,78,70,2020,0,monster truck championship
30,14.99,45354,97,2015,291,broforce
31,15.99,67,56,2024,67,colonize
32,19.99,5095,81,2010,53,medal of honor
33,14.99,2503,88,2021,45,growing up
34,59.99,10890,61,2014,100,call of duty: ghosts
35,17.99,429,61,2023,12,brewpub simulator
36,4.99,191,85,2022,15,the wilds
37,29.99,6741,82,2018,17,railway empire
38,59.99,10119,62,2014,55,call of duty advanced warfare
39,10,179,74,2022,37,battlecry of freedom
40,19.99,5477,94,2003,74,call of duty
41,5.99,622,95,1993,14,sam & max hit the road
42,49.99,1144,79,2023,65,miasma chronicles
43,14.99,265,68,2021,0,this is the president
44,6.24,293,62,2023,293,bus driving sim 22
45,49.99,1927,78,2017,0,aerofly fs2 flight sim
1,69.99,19263,89,2022,1143,fianl fantasy 7 remastered
2,0,137491,79,2016,1233,world of tanks blitz
3,29.99,7286,95,2023,419,the talos principle 2
4,0,8683,72,2021,154,honkai impact
5,39.99,134243,95,2021,4400,it takes two
6,0,1343,76,2023,383,snowbreak
7,19.99,13708,93,2023,1737,gorilla tag
8,24.99,1665,95,2023,154,jusant
9,0,9295,71,2022,247,tower of fantasy
10,29.99,312,78,2024,312,penny's big breakaway
11,9.99,315867,98,2011,3680,portal 2
12,0,109288,85,2021,2527,stumble guys
13,49.99,4191,90,2022,160,crisis core final fantasy 7
14,1.99,149,95,2022,0,drift racin g car
15,0,22491,81,2021,364,Soul Dossier
16,39.99,8669,98,2023,120,Bombrush cyberpunk
17,10.99,1193,79,2023,177,letiathan's fantasy
18,9.99,130172,98,2007,2202,Portal
19,9.99,15964,89,2012,296,Sonic Adventure 2
20,59.99,16732,92,2022,257,Sonic Frontiers
21,39.99,11007,93,2019,134,Spyro reignited trilogy
22,14.99,1530,89,2023,38,the break in
23,0,21,38,2024,21,perfect world
24,29.99,10889,84,2017,237,hello neighbor
25,59.99,1792,55,2024,1792,jjk cursed clash
26,59.99,1422,85,2022,43,sackboy a big adventure
27,24.99,4801,93,2023,159,viewfinder
28,29.99,39273,209,2017,209,a hat in time
29,19.99,18445,93,2011,350,sonic generations
30,39.99,11021,92,2022,205,kena bridge for spirits
31,39.99,11138,93,2018,118,crash bandicoot insane triology
32,4.99,431,69,2023,121,only up w/ friends
33,29.99,760,93,2018,0,marble it up ultra
34,14.99,11841,93,2016,98,cluter truck
35,39.99,2035,86,2022,70,crash bandicoot its about time
36,19.99,13713,89,2011,339,alice madness returns
37,0,591,43,2019,10,dk online season 2
38,1.99,4306,94,2023,131,apewar
39,7.99,11456,92,2011,148,sonic dx adventure
40,29.99,704,94,2022,10,olli olli world
41,39.99,1100,78,2022,20,soulstice
42,0,217,89,2024,217,chinese shit
43,21.99,6673,64,2015,31,trine 3
44,19.99,170,71,2023,170,boti byteland overclocked
1,12.99,2610,94,2024,2610,Supermarket simulator
2,29.99,35754,85,2024,22068,enshrouded
3,29.99,161294,86,2024,5497,sons of the forest
5,24.99,62942,94,2022,1971,Cult of the Lamb
6,39.99,848767,87,2018,10847,rust
7,44.99,41069,58,2023,1971,ark survival ascended
8,59.99,217414,86,2016,2340,civ 6
9,39.99,9041,74,2023,1250,myth of empires
10,0,128657,87,2014,3137,sims 4
11,29.99,7843,61,2024,61,nightingale
12,59.99,20565,87,2021,87,jurrasic world evolution 2
13,14.99,553809,98,2016,7949,stardew valley
14,39.99,9210,73,2024,1402,Myth of Empires
15,11.99,2317,77,2022,17,cartel tycoon
16,17.99,1095,90,2024,657,kebab chefs
17,19.99,211579,94,2013,5272,project zomboid
18,19.99,257215,93,2022,2565,Raft The Final Chapter
19,34.99,151201,98,2018,1474,Rimworld
20,34.99,8283,79,2023,144,Dune Spice Wars
21,9.99,1002026,97,2011,9627,Terraria
22,49.99,17274,57,2023,348,Kerbal Space Program 2
23,29.99,24,50,2024,24,robin hood sherwood builders
24,14.9,512462,83,2017,2910,Ark Survival Evolved
25,9.99,900571,96,2006,8700,Garry's Mod
26,49.99,34500,57,2023,1771,Citites Skylines 2
27,35,14635,97,2020,1284,Factorio
28,29.99,83588,92,2018,790,frost punk
29,44.99,64341,90,2019,567,Planet Zoo
30,19.99,377576,94,2021,2976,Valheim
31,39.99,5259,77,2023,470,houseflipper 2
32,29.99,187320,93,2015,1158,cities skylines
33,19.99,449767,95,2018,3499,the forest
34,24.99,21774,95,2021,546,timberborn
